Source.Country,Event.Date,affinity,GDP.growth.(annual.%).[NY.GDP.MKTP.KD.ZG],GDP.per.capita.growth.(annual.%).[NY.GDP.PCAP.KD.ZG],"Current.health.expenditure.per.capita,.PPP.(current.international.$).[SH.XPD.CHEX.PP.CD]",Current.health.expenditure.(%.of.GDP).[SH.XPD.CHEX.GD.ZS],"GDP.per.capita,.PPP.(constant.2017.international.$).[NY.GDP.PCAP.PP.KD]","GDP,.PPP.(constant.2017.international.$).[NY.GDP.MKTP.PP.KD]","Government.expenditure.on.education,.total.(%.of.government.expenditure).[SE.XPD.TOTL.GB.ZS]",Total.natural.resources.rents.(%.of.GDP).[NY.GDP.TOTL.RT.ZS],Proportion.of.seats.held.by.women.in.national.parliaments.(%).[SG.GEN.PARL.ZS],Women.Business.and.the.Law.Index.Score.(scale.1-100).[SG.LAW.INDX],"Life.expectancy.at.birth,.total.(years).[SP.DYN.LE00.IN]","Mortality.rate,.infant.(per.1,000.live.births).[SP.DYN.IMRT.IN]",Research.and.development.expenditure.(%.of.GDP).[GB.XPD.RSDV.GD.ZS],High-technology.exports.(%.of.manufactured.exports).[TX.VAL.TECH.MF.ZS],Individuals.using.the.Internet.(%.of.population).[IT.NET.USER.ZS],ICT.goods.exports.(%.of.total.goods.exports).[TX.VAL.ICTG.ZS.UN],ICT.goods.imports.(%.total.goods.imports).[TM.VAL.ICTG.ZS.UN],"ICT.service.exports.(%.of.service.exports,.BoP).[BX.GSR.CCIS.ZS]",Gini.index.[SI.POV.GINI],Ease.of.doing.business.score.(0.=.lowest.performance.to.100.=.best.performance).[IC.BUS.DFRN.XQ],Military.expenditure.(%.of.general.government.expenditure).[MS.MIL.XPND.ZS],Goods.Value.of.Trade.Balance.US.Dollars,Total.Score,Political.Rights,Civil.Liberties
Qatar,2018,2.4084615384615384,1.23,-0.78,2446.27,2.63,91461.62,253049780990.65,8.56,20.21,9.76,29.38,80.9,5.5,0.53,1.8,99.65,0,4.99,4.28,26.8,66.71,12.33,-5057540047,25,7,18
Qatar,2019,2.4837662337662336,0.77,-0.68,2736.82,2.91,90840.43,255010431902.45,8.64,17.33,9.76,29.38,80.99,5.2,0.53,0,99.65,0,5.62,4.63,26.8,68.67,12.72,-4501713302,25,7,18
Romania,2015,2.5458646616541354,3.16,3.65,1065.93,4.95,23933.19,474250837782.68,9.09,0.98,13.72,90.63,74.91,7.7,0.49,9.41,55.76,3.66,7.28,15.92,35.9,72.72,4.25,414584037,83,35,48
Romania,2016,2.487313432835821,2.86,3.45,1210.83,5,24758.71,487802773897.5,9.51,0.7,13.72,90.63,75.21,7.1,0.48,10.39,59.5,3.38,7.35,17.89,34.4,72.85,4.49,352645757,83,35,48
Romania,2017,2.6231404958677684,8.2,8.82,1398.55,5.15,26943.35,527785559982.29,10.05,0.93,20.67,90.63,75.31,6.6,0.5,9.78,63.75,2.99,7.1,18.45,36,73.04,5.59,20866781,83,35,48
Romania,2018,2.574725274725275,6.03,6.65,1672.6,5.56,28736.09,559605851890.76,10.46,1.12,20.67,90.63,75.36,6.1,0.5,10.08,70.68,2.92,7.14,20.15,35.8,72.51,5.65,502541444,83,35,48
Romania,2019,2.5839285714285714,3.85,4.4,1906.59,5.74,30000.98,581168382185.87,10.6,0.85,21.88,90.63,75.61,5.8,0.48,11.07,73.66,3.2,7.09,20.66,34.8,73.33,5.51,534990176,83,35,48
Russian Federation,2015,1.6334614515035044,-1.97,-2.18,1288.07,5.3,25488.1,3731610175003.83,10.87,10.08,13.56,73.13,71.18,6.6,1.1,15.95,70.1,0.81,9.14,7.62,37.7,74.1,13.81,414584037,83,35,48
Russian Federation,2016,2.1533986721466962,0.19,0.01,1288.6,5.29,25490.71,3738837933428.46,10.99,8.49,12.67,73.13,71.65,6.1,1.1,15.75,73.09,0.6,8.4,7.71,36.8,75.26,14.83,352645757,84,35,49
Russian Federation,2017,1.2902799268532845,1.83,1.71,1406.2,5.36,25926.44,3807101264909.28,13.47,10.56,15.78,73.13,72.45,5.6,1.11,12.29,76.01,0.63,8.67,8.09,37.2,76.54,12.2,200743671,83,35,48
Russian Federation,2018,1.0997497112052368,2.81,2.82,1570.78,5.36,26656.41,3913975940441.31,14.34,15.34,15.78,73.13,72.66,5.1,0.99,11.32,80.86,0.47,9.91,8.14,37.5,77.4,11.4,502541444,83,35,48
Russian Federation,2019,0.5856367924528302,2.2,2.24,1704.04,5.65,27254.57,4000008095032.46,9.29,12.99,15.78,73.13,73.08,4.7,1.04,12.87,82.64,0.53,9.36,8.86,37.7,78.16,11.4,271799697,88,35,49
Saudi Arabia,2015,1.8159879336349924,4.11,2.12,2915.86,6,47379.36,1551666717093.87,19.36,24.48,19.87,31.88,76.92,7.8,0.18,0.79,69.62,0.16,7.48,1.74,25.6,59.16,32.65,-1155878648,8,1,7
Saudi Arabia,2016,1.6106145251396649,1.67,-0.36,2654.3,5.84,47210.23,1577589858320.33,24.95,20.17,19.87,31.88,77.06,7.4,0.18,1.3,74.88,0.22,6.48,1.58,27.2,59.44,25.52,-1511808644,8,1,7
Saudi Arabia,2017,2.6145993413830952,-0.74,-3,2962.58,6.26,45795.51,1565891581197.72,22.26,24.31,19.87,31.88,77.16,6.9,0.18,0.73,94.18,0.15,7.7,1.87,25.6,62.08,30.7,845754124,8,1,7
Saudi Arabia,2018,1.8704294478527608,2.51,0.1,2802.5,5.75,45840.84,1605260691792.46,19.36,30.09,19.87,38.13,77.21,6.6,0.18,0.54,93.31,0.09,7.52,5.65,25.3,63.85,25.94,8831881757,8,1,7
Saudi Arabia,2019,1.147142857142857,0.33,-1.93,2789.56,5.69,44954.99,1610618743053.92,19.07,25.17,19.87,70.63,77.3,6.3,0.18,0.65,95.72,0,7.95,6.51,25.3,70.87,23.15,-2190855321,8,1,7
Serbia,2015,1.6264150943396225,1.81,2.31,1312.15,8.81,15578.23,110533522438.03,8.88,1.28,34,93.75,75.29,5.5,0.81,5.79,65.32,1.21,3.96,14.29,40.5,69.96,4.28,-33993093,60,20,40
Serbia,2016,1.4666666666666666,3.34,3.88,1338,8.46,16182.85,114223779989.51,8.69,1.18,34,93.75,75.69,5.3,0.84,6.14,67.06,1.28,3.42,16.17,38.8,73.28,4.17,-87041504,60,20,40
Serbia,2017,1.488888888888889,2.1,2.65,1366.07,8.22,16611.05,116623808759.79,9.26,1.55,34.4,93.75,75.54,5.1,0.87,7.55,70.33,1.14,3.53,17.13,36.2,73.75,4.58,-55360828,60,20,40
Serbia,2018,0.38064516129032255,4.5,5.07,1556.73,8.53,17452.83,121866190419.79,8.8,1.56,34.4,93.75,75.89,5,0.92,10.08,73.36,1.03,3.63,18.73,35,73.92,3.97,-207432494,60,20,40
Serbia,2019,2.307142857142857,4.33,4.89,1686.07,8.67,18306.81,127145110728.91,8.6,1.23,37.65,93.75,75.94,4.9,0.89,9.79,77.42,1.04,3.82,20.52,34.5,75.65,5.27,-249038433,60,20,40
Singapore,2015,1.8906976744186046,2.98,1.76,3598.99,4.18,89160.73,493504803147.71,19.69,0,23.91,82.5,82.74,2.2,2.17,52.21,83.2,32.4,26.98,5.79,39.7,84.89,20.95,-9255432528,47,19,28
Singapore,2016,1.9357843137254902,3.56,2.23,3894.94,4.39,91146.1,511081953803.75,18.51,0,23.76,82.5,82.85,2.2,2.07,52.23,84.45,32.8,28.1,7.98,35.3,85.44,19.96,-7868912771,47,19,28
Singapore,2017,2.4184397163120566,4.66,4.57,4091.44,4.36,95310.33,534905707125.68,20.06,0,23,82.5,83.1,2.2,1.9,53.07,84.45,32.02,27.88,7.54,38.2,85.57,21.63,-10482711800,47,19,28
Singapore,2018,2.303164556962025,3.66,3.18,4035.61,4.09,98336.96,554490236495.8,20.79,0,23,82.5,83.3,2.1,1.81,51.56,88.17,29.57,26.61,7.18,41.1,85.84,20.03,-10229537202,47,19,28
Singapore,2019,1.6806896551724138,1.1,-0.05,4102.27,4.08,98283.31,560565633905.58,19.47,0,23,82.5,83.6,2,1.89,51.81,88.95,29.3,26.87,6.24,34.9,86.2,19.77,-9507600342,47,19,28
Somalia,2015,1.3128205128205128,15.05,11.25,138.61,9.09,1029.7,14172683247.15,1.42,24.87,13.82,46.88,54.86,83.7,0.34,9.42,1.76,2.51,3.57,3.52,35,20.24,6.24,-47605637,8,2,6
Somalia,2016,-1.4027027027027028,8.53,4.52,138.61,9.09,1076.2,15381938113.4,1.31,25.76,24.36,46.88,55.04,81.4,0.17,7.03,1.88,0.03,5.54,7.74,42.8,20.29,6.24,-38148948,8,2,6
Somalia,2017,-2.9397959183673468,2.35,-1.58,138.61,9.09,1059.14,15743349479.85,1.7,23.26,24.36,46.88,55.65,79.1,0.43,7.03,2,0.11,3.39,6.69,44.1,19.98,6.24,-75840271,8,2,6
Somalia,2018,-5.965573770491804,7.53,3.72,138.61,9.09,1098.49,16928976288.55,3,13.4,24.36,46.88,56.38,77.1,0.43,5.3,2,2.51,4.9,3.52,42.8,20.04,6.24,-52043398,8,2,6
Somalia,2019,-1.8318840579710145,7.46,3.62,136.24,9.04,1138.29,18191289052.57,4.26,14.05,24.36,46.88,57.08,74.9,0.43,7.03,2,7.46,4.9,3.52,44.1,20.04,6.24,-110820789,8,2,6
South Africa,2015,2.282608695652174,1.32,-0.76,1103.37,8.79,13887.21,775968813043.72,18.7,2.57,42,88.13,63.95,29.4,0.73,7.41,51.92,1.42,8.93,3.53,46.7,66.24,3.34,-187231438,79,33,46
South Africa,2016,-0.5946902654867257,0.66,-0.31,1110.76,8.82,13844.28,781125531699.06,18.05,3.31,42,88.13,64.75,28.9,0.75,6.66,54,1.37,8.61,3.74,43.6,65.41,3.25,232238648,79,33,46
South Africa,2017,0.7916666666666666,1.16,0.77,1107.89,8.72,13950.45,790170550983.23,18.72,3.49,41.84,88.13,65.4,28.3,0.76,5.68,56.17,1.1,8.11,3.85,44.6,65.33,3.16,818912448,79,33,46
South Africa,2018,-0.38880000000000003,1.52,0.29,1145.87,8.86,13990.31,802199549491.68,18.9,3.4,42.75,88.13,65.67,27.8,0.69,5.27,62.4,0.97,7.91,3.74,42.6,66.7,2.97,509667084,79,33,46
South Africa,2019,-0.036,0.3,-0.99,1187.33,9.11,13852.21,804633849971.88,19.6,3.74,46.35,88.13,66.18,27.3,0.62,4.89,68.2,0.92,8.01,4.35,42.9,67.02,2.79,142164894,79,33,46
South Sudan,2015,1.7408163265306122,-10.79,-10.64,84.44,6.28,3756.51,96851610488.44,3.28,11.19,26.51,49.38,55.57,63.8,0.04,4.86,3,0.03,1.65,2.7,35,32.84,25.63,-20031769,1,-3,4
South Sudan,2016,-0.23703703703703707,2.65,-0.25,84.44,6.28,3756.51,96851610488.44,0.83,0.72,28.46,49.38,55.54,63.8,0.04,3.12,3.5,0.03,2.26,1.86,44.1,32.69,8.24,-10291003,1,-3,4
South Sudan,2017,1.6919354838709677,2.26,-0.35,84.44,8.24,4830.78,491630958145.9,1.07,6.02,28.46,49.38,55.31,63.8,0.04,6.02,4.1,0.03,3.39,1.57,42.8,31.64,6.24,-11475522,1,-3,4
South Sudan,2018,0.44999999999999996,2.65,-0.25,64.22,6.28,3756.51,96851610488.44,0.87,6.02,28.46,67.5,55.95,63.8,0.04,3.89,4.8,0.03,3.39,0.99,42.7,33.64,9.83,-24885393,1,-3,4
South Sudan,2019,-0.16363636363636366,2.65,-0.25,62.99,6.04,5467.21,491630958145.9,9.35,6.02,28.46,67.5,55.91,63.8,0.04,3.89,5.6,0.03,3.39,0.22,42.8,34.62,7.93,38976269,1,-3,4
Spain,2015,2.2429687499999997,3.84,3.92,3184.99,9.13,37373.95,1735826862236.57,9.77,0.05,41.14,97.5,82.83,2.8,1.22,6.89,78.69,1.25,5.05,8.93,36.2,75.93,2.9,1460112626,90,37,53
Spain,2016,1.876923076923077,3.04,2.95,3341.17,8.95,38476.79,1788557361802.7,9.96,0.04,39.14,97.5,83.33,2.7,1.19,7.8,80.56,1.37,4.98,8.97,35.8,77.63,2.68,893940965,90,37,53
Spain,2017,1.7225225225225225,2.98,2.73,3556.87,8.96,39528.93,1841780549395.31,10.21,0.05,39.14,97.5,83.28,2.7,1.21,7,84.6,1.52,5.1,8.74,34.7,77.63,2.99,1077948235,90,37,53
Spain,2018,1.7784615384615385,2.28,1.84,3787.7,8.99,40255.25,1883855462820.11,10.03,0.06,39.14,97.5,83.43,2.7,1.24,6.77,86.11,1.45,4.96,9.25,34.7,77.7,3.01,2071172142,90,37,53
Spain,2019,0.3986842105263158,1.98,1.25,3983.93,9.13,40760.31,1921230518894.26,10.05,0.04,44,97.5,83.83,2.7,1.25,6.85,90.72,1.63,5.08,9.58,34.3,77.94,2.93,581356786,90,37,53
Sudan,2015,1.2559322033898304,1.91,-1.21,322.55,7.27,4718.92,180126686429.94,12.51,4.98,30.52,29.38,64.66,45.3,0.21,1.41,18,0.01,2.22,0.13,35,45.52,21.92,-25854000,10,0,10
Sudan,2016,1.2365079365079363,3.47,0.3,305.39,5.48,4733.02,186372835393.39,12.69,6.67,30.52,29.38,64.78,44.2,0.24,5.62,14.1,0.01,2.26,0.73,42.7,44.82,22.87,-13251000,10,0,10
Sudan,2017,0.9185365853658536,0.71,-2.52,278.69,6.06,4613.95,187694696441.51,12.51,8.07,30.52,29.38,65.45,43.1,0.04,2.35,18.6,0.01,1.65,0.04,42.8,45,25.66,-40822268,10,0,10
Sudan,2018,2.4685714285714284,-2.68,-5.74,202.41,4.44,4349.21,182662731984.26,11.7,9.17,30.52,29.38,65.68,42,0.18,5.62,24.6,0.01,1.59,0.01,42.7,48.02,10.56,-17329786,10,0,10
Sudan,2019,2.340983606557377,-2.18,-4.97,204.54,4.57,4133.13,178683879115.44,12.03,10.7,27.71,29.38,65.88,41,0.04,4.45,25.9,0.01,2.07,0.01,42.8,44.83,8.73,15892923,10,0,10
Sweden,2015,0.6851851851851852,4.49,3.39,5333.4,10.8,50928.96,499062380984.55,15.38,0.48,43.55,100,82.2,2.4,3.22,18.13,90.61,6.92,10.15,22.19,29.2,81.63,2.2,6930001163,100,40,60
Sweden,2016,2.876315789473684,2.07,0.8,5512.93,10.85,51334.43,509395932462.04,15.62,0.71,43.55,100,82.31,2.3,3.25,17.83,89.65,6.78,9.83,20.04,29.6,82.15,2.16,6403861707,100,40,60
Sweden,2017,1.0743589743589743,2.57,1.2,5655.7,10.79,51947.95,522476835542.44,15.69,1.04,43.55,100,82.41,2.3,3.36,15.11,93.01,6.09,9.24,20.18,28.8,82.17,2.12,6781279442,100,40,60
Sweden,2018,1.174074074074074,1.95,0.77,6077.04,10.94,52349.29,532665253199,15.67,1.03,46.13,100,82.56,2.2,3.32,14.16,89.25,5.79,9.17,19.61,30,82.02,2.12,6602570885,100,40,60
Sweden,2019,0.75,1.99,0.96,6222.66,10.87,52850.57,543245028479.23,15.9,0.38,47.28,100,83.11,2.1,3.39,14.5,94.49,6.15,8.99,20.54,29.3,81.99,2.28,8038825396,100,40,60
Switzerland,2015,2.8062780269058294,1.64,0.49,7306.93,11.01,68159.22,564521668602.21,15.39,0.01,32,85.63,82.9,3.7,3.04,27.05,87.48,1.06,4.14,12.17,32.3,76.43,2.01,10341498099,96,39,57
Switzerland,2016,2.7555555555555555,2.07,0.96,7738.63,11.3,68813.64,576199870029.12,15.36,0.01,32,85.63,83.6,3.7,3.03,27.33,89.13,1.06,3.66,12.08,33,76.42,2.05,12401098530,96,39,57
Switzerland,2017,1.1291666666666667,1.36,0.42,7989.64,11.48,69103.57,584052319305.97,15.46,0.01,32.5,85.63,83.55,3.6,3.03,14.02,89.69,1.1,3.91,11.59,32.7,76.61,2.05,15842319524,96,39,57
Switzerland,2018,2.4537037037037037,2.86,2.11,8447.56,11.38,70558.56,600758819311.92,15.53,0.01,32.5,85.63,83.75,3.6,3.03,13.32,91.8,1.11,3.91,10.34,33.1,76.62,2.06,19947418421,96,39,57
Switzerland,2019,2.4258620689655173,1.14,0.42,8532.5,11.29,70857.09,607619378844.65,15.56,0.01,41.5,85.63,83.9,3.5,3.15,12.91,93.15,1.1,3.85,9.52,30.2,76.62,2.18,25065621655,96,39,57
Thailand,2015,0.5015936254980079,3.13,2.64,580.35,3.67,15919.37,1119042505228.28,20.62,2.09,6.09,75,77.72,9.3,0.62,23.91,39.32,16.61,13.88,0.85,36,71.94,6.5,9866707822,30,6,24
Thailand,2016,1.0253164556962024,3.44,2.98,623.79,3.75,16393.31,1157483380202.26,19.8,1.59,6.09,75,78.05,8.9,0.78,24.15,47.5,15.76,14.03,0.82,36.9,72.8,6.77,12229871983,30,6,24
Thailand,2017,2.1264044943820224,4.18,3.75,669.58,3.84,17008.04,1205839343826.68,18.36,1.76,4.8,75,78.39,8.4,1,25.09,52.89,16.11,14.04,0.63,36.5,78.45,6.56,11561741142,30,6,24
Thailand,2018,0.9235294117647059,4.22,3.89,707.59,3.82,17669.05,1256760375191.65,17.17,2.14,5.28,75,78.66,8.1,1.11,23.7,56.82,15.59,13.38,0.78,36.4,79.52,6.44,12756861755,30,6,24
Thailand,2019,1.42,2.15,1.89,731.31,3.79,18003.67,1283801536740.92,17.01,1.67,16.2,78.13,78.98,7.7,1.14,23.54,66.65,14.35,13.07,0.72,34.9,80.09,6.22,13764763175,30,6,24
Uganda,2015,2.9857142857142858,5.19,1.99,113.36,5.11,2108.86,79034506631.05,13.22,10.79,34.97,70,61.09,39.3,0.2,2.3,5.7,1.42,5.24,3.17,40.8,56.63,6.83,-56442049,35,11,24
Uganda,2016,-0.1736842105263158,4.78,1.34,107.92,4.97,2137.21,82813146623.44,12.47,12.73,33.49,70,61.65,37.6,0.14,2.05,6,1.02,4.21,2.09,42.8,57.29,6.93,-48172743,35,11,24
Uganda,2017,0.47857142857142854,3.13,-0.41,87.2,4,2128.4,85406362066.33,12.2,12.14,34.3,70,62.12,36,0.24,2.05,8.1,0.36,4.07,2.38,42.8,57.87,6.74,-27154951,35,11,24
Uganda,2018,0.9733333333333333,6.3,2.75,92.14,4.03,2186.91,90790314035.02,11.25,7.92,34.3,70,62.71,34.4,0.2,3.48,10.9,0.38,4.01,2.14,42.7,58.39,7.41,-73445113,35,11,24
Uganda,2019,-1.074074074074074,6.44,2.89,92.38,3.83,2250.01,96636070870.98,11.47,7.39,34.86,73.13,62.99,33.2,0.27,3.12,14.7,0.54,4.17,1.34,42.7,59.98,9.38,-87415920,35,11,24
Ukraine,2015,2.282058823529412,-9.77,-9.44,753.85,7.78,11216.12,480553554878.69,13.34,2.72,12.09,76.25,71.19,8.1,0.61,8.04,48.88,0.82,4.01,16.92,25.5,64.18,7.55,-1001240986,50,22,28
Ukraine,2016,2.322811059907834,2.44,2.85,802.78,7.55,11536.32,492283780388.95,12.35,2.4,12.02,76.25,71.48,7.8,0.48,6.68,53,0.95,4.88,18.56,25,65.42,7.78,-1264385300,50,22,28
Ukraine,2017,2.4146341463414633,2.36,2.81,842.43,7.43,11860.56,503901541149.97,13.02,2.86,12.29,76.25,71.78,7.6,0.45,6.17,58.89,0.93,5.13,19.38,26,68.09,6.94,-1673459798,50,22,28
Ukraine,2018,2.444787644787645,3.49,4.02,907.95,7.52,12336.93,521479452743.26,12.75,2.6,12.29,79.38,71.58,7.4,0.47,5.42,62.55,0.98,5.8,21.93,26.1,69.07,7.65,-1854580747,50,22,28
Ukraine,2019,0.8575315840621963,3.2,3.79,907.16,7.1,12804.96,538164207981.36,13.16,1.83,20.52,79.38,71.83,7.3,0.43,5.48,70.12,0.83,6.59,24.8,26.6,70.21,8.51,-2060531776,50,22,28
United Arab Emirates,2015,0.7237113402061855,6.79,5.82,2325.82,3.58,68076.64,607032486510.46,6.07,14.04,22.5,26.88,79.22,6.5,0.9,5.3,90.5,2.51,4.9,4.18,26.8,76.29,12.72,-17010971194,18,5,13
United Arab Emirates,2016,1.497590361445783,5.56,4.65,2217.17,3.47,71244.59,640792542127.39,5.16,11.32,22.5,26.88,79.34,6.3,0.96,2.62,90.6,2.09,5.54,4.18,26.8,77.43,13.35,-17420982736,18,5,13
United Arab Emirates,2017,1.7161616161616162,0.74,-0.09,2727.39,4.06,71182.37,645502807620.87,5.5,13.56,22.5,26.88,79.5,6.2,0.96,2.86,94.82,7.46,17.19,4.18,26.8,79.3,12.72,-19229179564,18,5,13
United Arab Emirates,2018,2.680263157894737,1.31,0.52,2843.78,4.15,71550.55,653984158615.1,5.36,17.28,22.5,30,79.63,6,1.28,3.23,98.45,7.06,13.3,3.62,26,81.59,12.72,-16193316323,18,5,13
United Arab Emirates,2019,2.148360655737705,1.11,0.32,2996.36,4.28,71782.15,661232579866.01,12.68,16.87,50,59.38,79.73,5.8,1.31,3.04,99.15,7.8,13.89,4.18,26.8,80.75,12.33,-15916002842,18,5,13
United Kingdom,2015,1.7018358531317495,2.39,1.58,4231.58,9.9,44948.34,2926865688766.75,13.49,0.33,29.38,97.5,80.96,3.9,1.63,22.32,92,4.1,8.29,8.01,33.3,83.34,5.08,9364521715,93,39,54
United Kingdom,2016,1.3305893358278764,2.17,1.39,4374.49,9.87,45574.85,2990238366433.56,13.45,0.28,29.58,97.5,81.16,3.8,1.64,23.55,94.78,4.5,7.63,7.86,33.1,83.34,5.01,1369470213,93,39,54
United Kingdom,2017,1.1557206537890043,2.44,1.75,4515.59,9.81,46372.39,3063306948134.75,13.76,0.42,32,97.5,81.26,3.8,1.66,22.61,90.42,4.25,7.77,7.94,32.6,83.22,4.96,-2305863371,93,39,54
United Kingdom,2018,1.0512039660056658,1.71,1.09,4830.18,9.9,46878.13,3115536975578.92,13.34,0.66,32.15,97.5,81.26,3.8,1.7,22.32,90.69,3.87,8.08,7.91,33.7,83.55,5,-42552872,93,39,54
United Kingdom,2019,1.3517824773413896,1.6,1.03,5087.38,10.15,47362.26,3165519804705.84,13.55,0.58,32,97.5,81.2,3.8,1.71,23.08,92.52,4,7.57,7.67,32.8,83.55,5.17,3513640421,93,39,54
United States,2015,0.43272727272727274,2.71,1.95,9392.07,16.52,58427.55,18739994325953.2,13.55,0.24,19.35,83.75,78.69,5.8,2.78,21.38,74.55,9.44,13.78,5.38,41.2,83.59,9.89,9364521715,83,33,50
United States,2016,0.6054945054945055,1.67,0.93,9775,16.84,58972.9,19052478498375.3,13.15,0.3,19.17,83.75,78.54,5.7,2.85,22.41,85.54,9.65,14.06,5.5,41.1,83.59,9.62,5880240143,83,33,50
United States,2017,-0.027659574468085122,2.24,1.6,10103.09,16.81,59914.78,19479620055999.9,13.86,0.44,19.35,83.75,78.54,5.7,2.9,19.26,87.27,9.48,14.28,5.69,41.2,83.59,9.36,15842319524,83,33,50
United States,2018,0.18484848484848485,2.95,2.4,10515.32,16.69,61355.65,20053369830317.9,13.15,0.67,23.5,91.25,78.64,5.6,3,18.47,88.5,8.9,13.6,5.69,41.4,83.57,9.35,-42552872,83,33,50
United States,2019,0.03185840707964602,2.29,1.83,10921.01,16.77,62478.25,20513482184099.1,13.38,0.57,23.43,91.25,78.79,5.5,3.17,18.67,89.43,8.74,12.93,6.25,41.5,84,9.6,3513640421,83,33,50
Uzbekistan,2015,2.0785714285714283,7.22,5.36,320.15,4.99,6401.12,200347863521.28,22.37,7.72,16,64.38,70.48,17.1,0.16,1.54,42.8,0.11,3.02,8.74,35,61.68,10.42,-283319904,12,2,10
Uzbekistan,2016,2.178048780487805,5.93,4.11,324.62,4.97,6663.95,212232800909.81,23.09,7.15,16,64.38,70.76,16.1,0.17,1.54,46.79,0.11,2.6,7.74,27.2,62.09,10.44,-360645533,12,2,10
Uzbekistan,2017,-2.011267605633803,4.4,2.65,335.39,5.08,6840.71,221561015372.15,22.52,13.4,16,64.38,71.01,15.2,0.15,1.54,48.7,0.11,2.6,6.69,27.5,66.61,10.59,-140757452,12,2,10
Uzbekistan,2018,2.3137931034482757,5.35,3.54,372.38,5.3,7082.93,233425600850.83,21.82,20.53,16,64.38,71.15,14.4,0.12,0.45,55.2,0.11,2.05,5.69,27.8,67.75,10.98,-309258532,12,2,10
Uzbekistan,2019,2.78,5.71,3.74,418.01,5.62,7348.15,246753344170.94,25.59,13.16,16,67.5,71.34,13.8,0.11,0.72,70.4,0.12,3.02,5.34,48.2,69.88,10.47,-491267936,12,2,10
Vietnam,2015,2.4416851441241683,6.99,5.88,344.96,4.57,8091.09,745928907792.47,17.12,4.23,24.3,76.25,73.88,17.5,0.44,36.37,45,29.37,21.13,14.78,36,62.6,7.89,25682521068,19,4,15
Vietnam,2016,2.5781512605042014,6.69,5.62,371.98,4.52,8545.7,795831620448.52,15.6,3.37,26.72,78.75,73.94,17.3,0.53,38.06,53,31.24,22.59,0.82,35.3,65.29,8.77,29761020821,19,4,15
Vietnam,2017,2.715536723163842,6.94,5.91,423.98,4.71,9050.69,851063829337.7,15.09,4.05,26.72,78.75,73.96,17.1,0.53,41.74,58.14,33.45,25.01,8.61,35.7,66.98,8.38,32206775336,19,4,15
Vietnam,2018,1.8217557251908396,7.46,6.47,493.99,5.03,9636.01,914595669793.04,16.09,4.41,26.72,78.75,73.98,17,0.53,40.75,69.85,33.76,23.81,7.04,35.7,68.57,8.82,34791077988,19,4,15
Vietnam,2019,2.4293051359516613,7.36,6.39,558.87,5.25,10252,981903335145.62,14.03,3.39,26.72,78.75,74.09,16.8,0.53,40.43,68.66,35.01,25.65,7.74,35.3,69.77,8.38,46898768284,19,4,15
Zimbabwe,2015,0.14199999999999996,2.02,-0.13,199.68,7.45,2313.88,32752805149.4,29.47,4.57,31.48,86.88,59.59,42.1,0.12,3.28,22.74,0.09,4.84,0.68,44.3,47.8,229.85,-144362608,28,11,17
Zimbabwe,2016,1.2,0.9,-1.18,215.4,7.68,2286.62,33047893314.84,23.53,4.47,31.48,86.88,60.31,40.6,0.27,5.16,23.12,0.08,3.65,0.7,44.3,47.79,184.08,-136741763,28,11,17
Zimbabwe,2017,-1.8711111111111112,4.08,1.97,226.21,7.47,2331.78,34396334576.58,20.87,6.04,32.58,86.88,60.71,39.5,0.14,2.59,24.4,0.04,4.64,2.91,44.3,48.59,138.56,-149058818,28,11,17
Zimbabwe,2018,1.709375,5.01,2.91,269.2,8.68,2399.62,36119545117.2,19.04,6.09,31.48,86.88,61.41,38,0.12,2.06,25,0.02,2.75,1.89,44.3,50.51,140.18,-141744369,28,11,17
Zimbabwe,2019,1.0035714285714286,-6.33,-8.18,208.41,7.7,2203.4,33832294280.19,20.87,5.33,31.85,86.88,61.29,37.1,0.14,4.95,25.1,0.03,2.26,4.88,50.3,54.47,176.15,-147140438,28,11,17
